flag_id,trip_id,driver_id,timestamp,elapsed_seconds,motion_score,motion_rating,audio_score,audio_rating,stress_score,stress_rating,explanation
7281d39a,5e678fe9,dca9b04f,2026-03-07T23:52:18.289538330,0,0.9772,HARSH,0.3965,CONVERSATIONAL,0.7449,CRITICAL,"Harsh braking/acceleration detected (6.1 m/s²). Motion disturbance detected."
0f48b0a8,5e678fe9,dca9b04f,2026-03-07T23:52:18.289600681,0,0.8809,HARSH,0.6282,ARGUMENT,0.7798,CRITICAL,"Combined signal: Harsh braking/acceleration detected (7.4 m/s²) + Sustained high audio (106.4 dB) for 15s. Strong conflict indicator."
9343a953,5e678fe9,dca9b04f,2026-03-07T23:52:18.289615833,0,0.6673,HARSH,0.2895,CONVERSATIONAL,0.5162,CRITICAL,"High speed detected (90.0 km/h). Motion disturbance detected."
6ccdac41,5e678fe9,dca9b04f,2026-03-07T23:52:18.289628451,0,0.8828,HARSH,0.2739,CONVERSATIONAL,0.6392,CRITICAL,"Harsh braking/acceleration detected (6.4 m/s²). Motion disturbance detected."
8f1fff0e,5e678fe9,dca9b04f,2026-03-07T23:52:18.289639968,0,1.0000,HARSH,0.2656,CONVERSATIONAL,0.7062,CRITICAL,"Harsh braking/acceleration detected (7.2 m/s²). Motion disturbance detected."
72b9575e,5e678fe9,dca9b04f,2026-03-07T23:52:18.289651874,0,1.0000,HARSH,0.3320,CONVERSATIONAL,0.7328,CRITICAL,"Harsh braking/acceleration detected (11.2 m/s²). Motion disturbance detected."
77547abb,5e678fe9,dca9b04f,2026-03-07T23:52:18.289670373,0,0.8217,HARSH,0.5032,ARGUMENT,0.6943,CRITICAL,"Harsh braking/acceleration detected (6.7 m/s²). Motion disturbance detected."
c7b0493f,5e678fe9,dca9b04f,2026-03-07T23:52:18.289682791,0,0.7210,HARSH,0.0864,QUIET,0.4671,CRITICAL,"Harsh braking/acceleration detected (4.7 m/s²). Motion disturbance detected."
fdeb6b76,5e678fe9,dca9b04f,2026-03-07T23:52:18.289694713,0,0.8484,HARSH,0.2443,QUIET,0.6067,CRITICAL,"Harsh braking/acceleration detected (5.6 m/s²). Motion disturbance detected."
0d8edfc5,5e678fe9,dca9b04f,2026-03-07T23:52:18.289705098,0,0.6153,MODERATE,0.4846,CONVERSATIONAL,0.5630,CRITICAL,"Harsh braking/acceleration detected (5.5 m/s²). Motion disturbance detected."
6aa64d5e,5e678fe9,dca9b04f,2026-03-07T23:52:18.289730885,0,0.8792,HARSH,0.1630,QUIET,0.5928,CRITICAL,"Harsh braking/acceleration detected (5.4 m/s²). Motion disturbance detected."
4b94a04a,5e678fe9,dca9b04f,2026-03-07T23:52:18.289740738,0,0.7544,HARSH,0.2181,QUIET,0.5399,CRITICAL,"Harsh braking/acceleration detected (6.4 m/s²). Motion disturbance detected."
775ab70b,5e678fe9,dca9b04f,2026-03-07T23:52:18.289761832,0,0.8758,HARSH,0.4747,CONVERSATIONAL,0.7154,CRITICAL,"Harsh braking/acceleration detected (8.1 m/s²). Motion disturbance detected."
980e07c4,38aacf1e,dca9b04f,2026-03-07T23:52:18.413121220,0,1.0000,HARSH,0.2999,CONVERSATIONAL,0.7200,CRITICAL,"Harsh braking/acceleration detected (9.7 m/s²). Motion disturbance detected."
cbb7ae8b,38aacf1e,dca9b04f,2026-03-07T23:52:18.413139295,0,1.0000,HARSH,0.2356,QUIET,0.6942,CRITICAL,"Harsh braking/acceleration detected (11.1 m/s²). Motion disturbance detected."
1ac56720,38aacf1e,dca9b04f,2026-03-07T23:52:18.413151968,0,1.0000,HARSH,0.2622,CONVERSATIONAL,0.7049,CRITICAL,"Harsh braking/acceleration detected (6.9 m/s²). Motion disturbance detected."
d6808d62,38aacf1e,dca9b04f,2026-03-07T23:52:18.413162347,0,0.9185,HARSH,0.3604,CONVERSATIONAL,0.6953,CRITICAL,"Harsh braking/acceleration detected (8.4 m/s²). Motion disturbance detected."
b97848cb,38aacf1e,dca9b04f,2026-03-07T23:52:18.413174287,0,1.0000,HARSH,0.2722,CONVERSATIONAL,0.7089,CRITICAL,"Harsh braking/acceleration detected (8.5 m/s²). Motion disturbance detected."
14af183c,38aacf1e,dca9b04f,2026-03-07T23:52:18.413185457,0,1.0000,HARSH,0.3447,CONVERSATIONAL,0.7379,CRITICAL,"Harsh braking/acceleration detected (7.7 m/s²). Motion disturbance detected."
b9fdfbcf,38aacf1e,dca9b04f,2026-03-07T23:52:18.413195100,0,0.9440,HARSH,0.2657,CONVERSATIONAL,0.6727,CRITICAL,"Harsh braking/acceleration detected (6.5 m/s²). Motion disturbance detected."
0ac52c3e,38aacf1e,dca9b04f,2026-03-07T23:52:18.413215186,0,1.0000,HARSH,0.4013,CONVERSATIONAL,0.7605,CRITICAL,"Harsh braking/acceleration detected (10.9 m/s²). Motion disturbance detected."
e4a3ffcd,38aacf1e,dca9b04f,2026-03-07T23:52:18.413236177,0,0.7636,HARSH,0.1777,QUIET,0.5292,CRITICAL,"Harsh braking/acceleration detected (6.7 m/s²). Motion disturbance detected."
